eval_exp,training_exp,eval_accuracy,eval_loss,forgetting
0,0,0.9472,0.1283,0
1,0,0.0738,9.4016,0
2,0,0.0000,4.9548,0
3,0,0.0000,4.7017,0
4,0,0.0000,2.9972,0
0,1,0.2788,6.1825,0.6685
1,1,0.4905,0.6990,0
2,1,0.0000,5.5457,0
3,1,0.0000,11.2226,0
4,1,0.0000,11.6693,0
0,2,0.0000,7.9713,0.9472
1,2,0.5095,3.6568,-0.0190
2,2,0.5245,0.6935,0
3,2,0.0000,5.9388,0
4,2,0.0000,11.3073,0
0,3,0.0000,8.6788,0.9472
1,3,0.0000,7.5658,0.4905
2,3,0.0000,4.2693,0.5245
3,3,0.4908,0.6945,0
4,3,1.0000,0.6861,0
0,4,0.0000,26.9474,0.9472
1,4,0.0000,26.4845,0.4905
2,4,0.0000,21.1467,0.5245
3,4,0.4908,6.3479,0.0000
4,4,1.0000,0.0000,0
