eval_exp,training_exp,eval_accuracy,eval_loss,forgetting
0,0,0.9540,0.1328,0
1,0,0.0786,7.2866,0
2,0,0.0000,5.4047,0
3,0,0.0000,4.7609,0
4,0,0.0000,3.2518,0
0,1,0.9472,0.2429,0.0068
1,1,0.6333,0.7045,0
2,1,0.0000,7.6448,0
3,1,0.0000,13.6134,0
4,1,0.0000,13.2910,0
0,2,0.9323,0.2207,0.0217
1,2,0.5119,0.9163,0.1214
2,2,0.6422,0.9295,0
3,2,0.0000,7.8525,0
4,2,0.0000,11.9952,0
0,3,0.9418,0.2843,0.0122
1,3,0.3619,1.2692,0.2714
2,3,0.4583,1.1110,0.1838
3,3,0.6194,1.1835,0
4,3,0.0000,1.6548,0
0,4,0.9161,0.5095,0.0379
1,4,0.3833,1.1586,0.2500
2,4,0.4583,1.2442,0.1838
3,4,0.5958,1.3618,0.0236
4,4,0.0000,1.3263,0
