eval_exp,training_exp,eval_accuracy,eval_loss,forgetting
0,0,0.9635,0.1661,0
1,0,0.0810,5.4711,0
2,0,0.0000,2.7664,0
3,0,0.0000,3.1958,0
4,0,0.0000,2.2352,0
0,1,0.8972,0.3605,0.0663
1,1,0.7476,0.6347,0
2,1,0.0000,3.2741,0
3,1,0.0000,5.5222,0
4,1,0.0000,4.3863,0
0,2,0.9472,0.3762,0.0162
1,2,0.4762,0.8690,0.2714
2,2,0.5245,1.1405,0
3,2,0.0000,4.0549,0
4,2,0.0000,6.1012,0
0,3,0.9215,0.5565,0.0419
1,3,0.3262,1.2164,0.4214
2,3,0.3897,1.2981,0.1348
3,3,0.5459,1.3297,0
4,3,0.0000,1.5510,0
0,4,0.9337,0.3833,0.0298
1,4,0.3119,1.3322,0.4357
2,4,0.0417,1.4289,0.4828
3,4,0.4304,1.1789,0.1155
4,4,1.0000,1.1360,0
