eval_exp,training_exp,eval_accuracy,eval_loss,forgetting
0,0,0.7212,0.5302,0
1,0,0.0000,10.3300,0
2,0,0.0000,8.0776,0
3,0,0.0000,7.1671,0
4,0,0.0000,5.2011,0
0,1,0.0000,8.2866,0.7212
1,1,0.7476,0.6007,0
2,1,0.0000,7.7211,0
3,1,0.0000,12.9237,0
4,1,0.0000,11.3930,0
0,2,0.0000,10.2455,0.7212
1,2,0.5095,3.5889,0.2381
2,2,0.5245,0.6994,0
3,2,0.0000,7.0463,0
4,2,0.0000,13.4522,0
0,3,0.0000,8.7223,0.7212
1,3,0.0000,8.1941,0.7476
2,3,0.0000,4.3955,0.5245
3,3,0.4908,0.6944,0
4,3,1.0000,0.6769,0
0,4,0.0000,18.0601,0.7212
1,4,0.0000,18.6526,0.7476
2,4,0.0000,13.7691,0.5245
3,4,0.4908,4.4528,0.0000
4,4,1.0000,0.0002,0
