eval_exp,training_exp,eval_accuracy,eval_loss,forgetting
0,0,0.9567,0.1685,0
1,0,0.0738,6.5909,0
2,0,0.0000,3.3023,0
3,0,0.0000,3.5695,0
4,0,0.0000,2.3592,0
0,1,0.0000,3.1265,0.9567
1,1,0.7476,0.6709,0
2,1,0.0000,3.8758,0
3,1,0.0000,6.1894,0
4,1,0.0000,4.9409,0
0,2,0.0000,2.2877,0.9567
1,2,0.1643,2.7708,0.5833
2,2,0.6642,0.7746,0
3,2,0.0000,3.2830,0
4,2,0.0000,6.8322,0
0,3,0.0000,381.6449,0.9567
1,3,0.0000,191.2781,0.7476
2,3,0.3358,27.0241,0.3284
3,3,0.6273,0.6781,0
4,3,0.0000,0.9439,0
0,4,0.0000,3019.0053,0.9567
1,4,0.0000,1479.8619,0.7476
2,4,0.0000,262.3059,0.6642
3,4,0.4908,4.4609,0.1365
4,4,1.0000,0.0002,0
